iter	RMSE
0	76.91559069
1	75.43841924
2	74.05491927
3	72.81359196
4	71.58218001
5	70.33646023
6	69.28482908
7	68.22322015
8	67.21885294
9	66.29615996
10	65.37133785
11	64.46531392
12	63.73862929
13	62.98128607
14	62.25417676
15	61.60928079
16	60.95432398
17	60.3030172
18	59.87452495
19	59.41997147
20	58.94035985
21	58.4358692
22	57.96548081
23	57.58197688
24	57.11346086
25	56.70827522
26	56.31564849
27	55.98579267
28	55.56137092
29	55.1888564
30	54.83315381
31	54.52653855
32	54.22028588
33	53.90132233
34	53.57447633
35	53.35705126
36	53.09399676
37	52.83931801
38	52.55822592
39	52.322473
40	52.06224881
41	51.82268046
42	51.651069
43	51.46133513
44	51.28311938
45	51.16271476
46	50.99460994
47	50.80472761
48	50.61361742
49	50.46167119
50	50.28768572
51	50.16962328
52	50.0198666
53	49.87891487
54	49.68181525
55	49.54466415
56	49.35680557
57	49.240126
58	49.05764475
59	48.88810618
60	48.68282028
61	48.53526268
62	48.45282629
63	48.28831879
64	48.14637707
65	48.03254316
66	47.89534843
67	47.77210852
68	47.66539507
69	47.53162803
70	47.39985611
71	47.2579551
72	47.12789011
73	47.01580202
74	46.88736676
75	46.72510067
76	46.61032559
77	46.50092215
78	46.36018756
79	46.22217085
80	46.13549852
81	46.05246674
82	45.98685087
83	45.90297959
84	45.82429596
85	45.73308395
86	45.61562445
87	45.51973771
88	45.46373337
89	45.32886617
90	45.24539348
91	45.14109712
92	45.03342205
93	44.97063497
94	44.85783684
95	44.74177303
96	44.64164215
97	44.58602735
98	44.52814462
99	44.4724925
