iter	Passed	Remaining
0	3	328
1	6	308
2	8	284
3	11	272
4	14	272
5	16	260
6	18	251
7	20	239
8	22	230
9	25	228
10	27	222
11	29	216
12	31	212
13	34	210
14	36	204
15	38	199
16	40	199
17	43	196
18	46	198
19	48	195
20	50	191
21	53	187
22	55	185
23	57	182
24	59	179
25	62	176
26	64	173
27	66	170
28	68	166
29	70	164
30	73	162
31	75	160
32	78	159
33	81	158
34	84	156
35	86	153
36	88	150
37	90	147
38	93	146
39	95	143
40	97	140
41	100	139
42	103	137
43	105	134
44	108	132
45	111	130
46	113	128
47	116	125
48	117	122
49	119	119
50	121	116
51	123	114
52	126	112
53	128	109
54	130	106
55	133	104
56	135	102
57	138	99
58	141	98
59	144	96
60	147	94
61	149	91
62	151	89
63	154	86
64	156	84
65	160	82
66	162	79
67	164	77
68	166	74
69	169	72
70	171	70
71	174	67
72	177	65
73	179	63
74	181	60
75	184	58
76	186	55
77	188	53
78	192	51
79	194	48
80	196	46
81	198	43
82	201	41
83	203	38
84	206	36
85	209	34
86	212	31
87	214	29
88	216	26
89	219	24
90	221	21
91	224	19
92	226	17
93	229	14
94	231	12
95	235	9
96	237	7
97	240	4
98	242	2
99	245	0
