iter	RMSE
0	1.356095751
1	1.297509694
2	1.24263874
3	1.192345272
4	1.145398175
5	1.102168934
6	1.062445047
7	1.025979153
8	0.991621732
9	0.9599120494
10	0.9306712683
11	0.9040191333
12	0.8794708206
13	0.8566633035
14	0.8353635794
15	0.8160014963
16	0.7980054332
17	0.7815204824
18	0.7664429095
19	0.7521853214
20	0.7392898326
21	0.7273854042
22	0.7165707579
23	0.7058876985
24	0.6963872266
25	0.6873173807
26	0.6789669073
27	0.67100602
28	0.6640291378
29	0.6570601591
30	0.6504787714
31	0.6446786825
32	0.6388133203
33	0.6335438997
34	0.6283451287
35	0.6237800786
36	0.6191948655
37	0.6150133463
38	0.6112445588
39	0.6074188716
40	0.6039768425
41	0.6007764944
42	0.5977310397
43	0.594941241
44	0.5919354708
45	0.5891576007
46	0.5859360719
47	0.5835637359
48	0.581180168
49	0.5789815669
50	0.5771023501
51	0.5745701078
52	0.5729015373
53	0.5712154479
54	0.5691253213
55	0.5676118488
56	0.566238727
57	0.5641931212
58	0.5628512656
59	0.5614738241
60	0.5601816481
61	0.5586325438
62	0.55668275
63	0.5555720872
64	0.554624876
65	0.552784606
66	0.5517928382
67	0.5509950866
68	0.5501372806
69	0.5485027445
70	0.5468203594
71	0.5456022795
72	0.544353012
73	0.5437015666
74	0.5431244075
75	0.5413438094
76	0.539564011
77	0.5386637923
78	0.538031669
79	0.5368903847
80	0.5359890769
81	0.5351278328
82	0.5329642239
83	0.5319954681
84	0.530050481
85	0.529285036
86	0.5270436575
87	0.525887709
88	0.5247670497
89	0.5240970598
90	0.5231216046
91	0.5226305733
92	0.5221301633
93	0.5213117293
94	0.5209274876
95	0.5202868895
96	0.518749923
97	0.5174934686
98	0.5168005953
99	0.5158952672
100	0.51489444
101	0.5142872261
102	0.5131515014
103	0.5122341643
104	0.5115974989
105	0.5104379643
106	0.5098696631
107	0.50887615
108	0.5075342835
109	0.5068080465
110	0.5060227787
111	0.5050628988
112	0.5045555585
113	0.5036050045
114	0.5029664416
115	0.502290329
116	0.5015661054
117	0.5008307151
118	0.4999349348
119	0.4994340068
120	0.4986105194
121	0.4977880163
122	0.4968915784
123	0.4964516891
124	0.4957884233
125	0.4947220428
126	0.4935016864
127	0.4929299466
128	0.4924512171
129	0.4918499563
130	0.4910626408
131	0.4905651127
132	0.4893798807
133	0.4886497443
134	0.4878522319
135	0.4876351301
136	0.4869666722
137	0.4859908718
138	0.4855957018
139	0.485096094
140	0.4847214257
141	0.484154349
142	0.4838507872
143	0.4833351004
144	0.4824225682
145	0.4820657829
146	0.4810702914
147	0.4805783865
148	0.4800231569
149	0.4791995111
150	0.4784874935
151	0.4780212475
152	0.4771810595
153	0.4764916616
154	0.4757619904
155	0.4753974287
156	0.4746134588
157	0.4735772408
158	0.4729358338
159	0.4726118617
160	0.4717443258
161	0.4713125531
162	0.4709914567
163	0.470459106
