iter	Passed	Remaining
0	9	9365
1	12	6360
2	16	5557
3	20	5037
4	23	4676
5	26	4432
6	30	4323
7	33	4174
8	37	4126
9	41	4052
10	44	4021
11	48	4003
12	53	4021
13	57	4006
14	61	3987
15	64	3949
16	68	3934
17	71	3905
18	75	3880
19	79	3859
20	82	3826
21	85	3798
22	89	3776
23	92	3757
24	96	3734
25	100	3731
26	103	3711
27	106	3681
28	110	3673
29	113	3655
30	116	3631
31	119	3607
32	122	3583
33	125	3560
34	129	3545
35	132	3527
36	135	3510
37	138	3493
38	141	3479
39	145	3479
40	148	3465
41	152	3452
42	155	3437
43	158	3427
44	162	3423
45	165	3411
46	168	3401
47	171	3390
48	175	3382
49	178	3372
50	181	3360
51	184	3350
52	188	3341
53	191	3336
54	194	3324
55	197	3318
56	201	3308
57	204	3304
58	208	3304
59	211	3302
60	216	3314
61	219	3310
62	223	3302
63	226	3294
64	229	3285
65	232	3275
66	235	3267
67	239	3261
68	242	3254
69	245	3248
70	249	3240
71	252	3236
72	255	3226
73	258	3215
74	261	3204
75	264	3195
76	267	3189
77	270	3182
78	273	3175
79	276	3167
80	279	3158
81	282	3148
82	285	3138
83	288	3127
84	291	3119
85	294	3115
86	297	3106
87	301	3103
88	304	3095
89	307	3089
90	310	3080
91	313	3072
92	315	3063
93	318	3055
94	321	3048
95	324	3040
96	327	3033
97	330	3029
98	334	3023
99	337	3017
100	340	3011
101	343	3006
102	346	2998
103	349	2991
104	352	2985
105	355	2977
106	357	2969
107	360	2963
108	364	2959
109	367	2954
110	370	2951
111	373	2944
112	376	2938
113	379	2931
114	382	2927
115	385	2923
116	388	2918
117	391	2912
118	395	2912
119	398	2908
120	402	2904
121	405	2898
122	408	2892
123	411	2889
124	414	2886
125	417	2880
126	420	2875
127	424	2875
128	428	2874
129	431	2869
130	434	2866
131	437	2860
132	440	2856
133	443	2850
134	446	2845
135	449	2840
136	452	2833
137	456	2832
138	459	2827
139	462	2823
140	465	2820
141	468	2814
142	471	2809
143	474	2803
144	477	2797
145	479	2791
146	482	2785
147	485	2779
148	488	2774
149	491	2768
150	494	2764
151	497	2759
152	500	2754
153	503	2748
154	506	2743
155	509	2740
156	512	2734
157	515	2729
158	518	2724
159	521	2719
160	524	2715
161	527	2712
162	530	2708
163	533	2703
164	536	2699
165	539	2693
166	542	2688
167	545	2683
168	548	2679
169	551	2674
170	554	2670
171	557	2669
172	561	2666
173	564	2663
174	568	2661
175	570	2656
176	573	2651
177	576	2647
178	579	2642
179	582	2638
180	585	2633
181	588	2629
182	591	2625
183	594	2621
184	597	2616
185	600	2613
186	604	2612
187	607	2609
188	611	2609
189	615	2606
190	618	2603
191	622	2601
192	625	2598
193	628	2595
194	631	2592
195	634	2587
196	637	2583
197	640	2578
198	643	2573
199	646	2569
200	649	2565
201	652	2561
202	655	2557
203	659	2555
204	662	2551
205	664	2546
206	667	2541
207	670	2538
208	674	2535
209	677	2531
210	680	2527
211	683	2523
212	686	2519
213	689	2516
214	692	2512
215	695	2507
216	698	2503
217	701	2499
218	704	2495
219	707	2492
220	710	2487
221	713	2483
222	716	2479
223	719	2476
224	723	2475
225	726	2470
226	729	2466
227	731	2461
228	734	2458
229	737	2453
230	740	2449
231	743	2445
232	746	2441
233	749	2438
234	752	2434
235	755	2430
236	758	2427
237	761	2423
238	765	2419
239	767	2415
240	771	2412
241	774	2409
242	777	2406
243	780	2402
244	784	2400
245	788	2399
246	791	2396
247	794	2393
248	797	2390
249	800	2386
250	803	2382
251	806	2378
252	810	2376
253	813	2374
254	817	2372
255	821	2370
256	824	2368
257	827	2364
258	831	2362
259	834	2358
260	837	2354
261	840	2351
262	843	2349
263	847	2345
264	850	2342
265	853	2338
266	856	2334
267	858	2330
268	862	2326
269	864	2322
270	868	2318
271	870	2314
272	873	2310
273	876	2307
274	880	2304
275	883	2301
276	886	2297
277	889	2294
278	892	2290
279	895	2286
280	898	2282
281	901	2278
282	904	2274
